Model,Feature,RMSE,MAE,MAPE,R2,Error_Mean,Error_Std,Shapiro_W,Shapiro_p,Normal_dist
LSTM,clock_error_ns,0.22001364334801904,0.18002629232374273,326.9973489909882,0.6442737530786081,0.08271699154115288,0.20387227023224655,0.9819270692793964,0.3349920148585265,YES
LSTM,total_eph_error_m,0.17386873783380152,0.1424987790087699,131.02683085454942,0.7670272666759391,0.044252769892651554,0.16814288671468453,0.9644338930431702,0.028235391010341192,NO
LSTM,ephemeris_error_x_m,0.14431856059067114,0.1150152752634775,252.56728708424743,0.7986424268347275,-0.009841277448197202,0.1439826246084951,0.9930413244874331,0.9517532866048872,YES
LSTM,ephemeris_error_y_m,0.1960111734199533,0.1607142406873581,123.314459457314,0.7901675634974337,0.10845833693761382,0.16327023382782924,0.9783142122639609,0.2047108858029697,YES
LSTM,ephemeris_error_z_m,0.26184338716227423,0.21747932316413982,117.30647762365041,0.5229420598441705,-0.18972991926673408,0.1804564133957317,0.9881045810277359,0.687571817976748,YES
Transformer,clock_error_ns,0.19833770436811846,0.15476220494150528,231.28988678172328,0.7109138740575052,0.02007324233160216,0.197319309537389,0.9890294504773351,0.747317553482866,YES
Transformer,total_eph_error_m,0.1623476060758857,0.13806074510196056,109.58382512481552,0.7968794470222005,0.005669945005660133,0.16224856523927644,0.9735967500698222,0.10463560060645727,YES
Transformer,ephemeris_error_x_m,0.13653572285015156,0.10578675046428082,129.13612949656888,0.8197745249838624,0.01662769205125632,0.13551945790646444,0.9844669490479347,0.46223260911925107,YES
Transformer,ephemeris_error_y_m,0.23074069537811093,0.19881302991350105,161.21439651850906,0.70922346260175,0.1773637722013423,0.14759187245266775,0.9836574811970669,0.4184109049592738,YES
Transformer,ephemeris_error_z_m,0.1749422576815039,0.14300023992700703,107.11691907419143,0.7870501385247153,-0.08405211218997151,0.15342762449802239,0.9875205861116143,0.6495537029690045,YES
Hybrid_LSTM_Transformer,clock_error_ns,0.22677601522537771,0.18194814509433646,280.9075273477513,0.622070385596432,0.09490476261046864,0.20596224682050673,0.9920343114548331,0.9140903873747699,YES
Hybrid_LSTM_Transformer,total_eph_error_m,0.1601735084541998,0.13592714806812212,101.43689829216234,0.8022832472460197,-0.012154246928745097,0.1597116999224625,0.9744211994719514,0.11777912643819344,YES
Hybrid_LSTM_Transformer,ephemeris_error_x_m,0.15275166632726675,0.1181185648633318,129.25248546848732,0.7744226428902845,0.05997589419880126,0.14048474536692884,0.9846428103240202,0.4721375840426505,YES
Hybrid_LSTM_Transformer,ephemeris_error_y_m,0.16804495973817613,0.13157106124810272,117.40024935564509,0.8457724540057747,0.031229252765208326,0.16511766188125349,0.9597523213090553,0.01470492601444391,NO
Hybrid_LSTM_Transformer,ephemeris_error_z_m,0.16768519098470278,0.13543898634929624,107.17020364434751,0.8043511372814958,-0.06991715895567456,0.15241362852167512,0.9892443806944992,0.7609506078545974,YES
